filename,marker,mpp_um_per_px,counterstain_grade,n_nuclei_detected,n_positive,positive_density_per_mm2,percent_positive,percent_reportable,n_enclosed_cells,mean_membrane_completeness,median_cell_area_um2,note
_20250205110946_viewcapture59.png,Ki67,0.8929,adequate,6461.0,1076.0,932.8992594249492,16.653768766444824,True,,,,
_20250205110946_viewcapture60.png,Ki67,0.4505,adequate,2456.0,358.0,1219.3308415923498,14.57654723127036,True,,,,
_20250205111000_viewcapture57.png,Ki67,1.2821,adequate,7607.0,2020.0,849.4458364305116,26.55448928618378,True,,,,
_20250205111000_viewcapture58.png,Ki67,0.5217,adequate,2295.0,11.0,27.936959269815265,0.4793028322440087,True,,,,
_20250205114924_viewcapture54.png,Ki67,1.2346,absent,1396.0,926.0,422.2906270126823,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250205114924_viewcapture55.png,Ki67,0.9524,marginal,701.0,233.0,177.56005483476682,33.238231098430816,True,,,,
_20250205114937_viewcapture51.png,Ki67,0.4348,absent,141.0,44.0,164.7321899095857,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250205131819_viewcapture53.png,Ki67,2.2222,absent,2.0,1.0,0.1407624166030647,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250205131832_viewcapture52.png,Ki67,0.6723,adequate,1574.0,16.0,24.606325281828852,1.0165184243964422,True,,,,
_20250205131900_viewcapture51.png,Ki67,0.3061,marginal,109.0,48.0,365.93104956650313,44.03669724770643,True,,,,
_20250205131926_viewcapture50.png,Ki67,1.8349,adequate,5681.0,854.0,176.31370434536518,15.032564689315262,True,,,,
_20250205131926_viewcapture51.png,Ki67,0.8403,adequate,4966.0,435.0,428.22649138667134,8.759565042287555,True,,,,
_20250205140230_viewcapture47.png,Ki67,1.5873,marginal,1369.0,94.0,25.933600823365072,6.866325785244704,True,,,,
_20250205140230_viewcapture48.png,Ki67,1.8182,marginal,189.0,13.0,2.7334620336111226,6.878306878306878,True,,,,
_20250205140230_viewcapture49.png,Ki67,0.7826,absent,112.0,34.0,38.58799651281436,,False,,,,"counterstain absent: no denominator, percent withheld"
_20250205140243_viewcapture47.png,Ki67,0.3571,adequate,1546.0,14.0,76.31349362716347,0.9055627425614488,True,,,,
_20250205140256_viewcapture46.png,Ki67,0.9346,marginal,594.0,88.0,70.02999889024883,14.814814814814811,True,,,,
_20250205140309_viewcapture46.png,Ki67,0.9346,adequate,1953.0,107.0,85.15011228700712,5.478750640040963,True,,,,
ki-67 + control_viewcapture24.png,Ki67,0.5217,adequate,3890.0,1245.0,3179.659964699804,32.005141388174806,True,,,,
ki-67 + control_viewcapture25.png,Ki67,0.5217,adequate,5267.0,1042.0,2661.209384110197,19.78355800265806,True,,,,
ki-67 + control_viewcapture26.png,Ki67,0.5217,adequate,4338.0,1402.0,3580.629132939056,32.31904103273398,True,,,,
